,0,1,2,3,4
86,semangat iya moga cepat offline,positif,"@12O1JOON owalahh, semangat yaaa, smoga cepet luring",2021-10-29 00:27:03+00:00,Kookjonie7_
87,saya ikut offline hari,positif,haruskah saia ikut luring hari ini 🤔,2021-10-29 00:26:21+00:00,rosallins723
88,mas jaring kayak offline wacana sudah,netral,@_ur2500 Masi daring nih kayanya luring wacana doang dah✋😭,2021-10-28 23:55:35+00:00,kaaa_chaan
89,kachan jaring apa offline,netral,@kaaa_chaan Kachan daring apa dh luring?,2021-10-28 23:53:49+00:00,yutanasweet
90,ayo dong telekomunikasi buat mau tanya begini tiap pagi siapa offline,positif,"@schfess AYO DONG TELKOM BUAT, GUA PENGEN NANYA GNI TIAP PAGI ""SIAPA YG LURING?""",2021-10-28 23:51:06+00:00,simpovertaynew
91,offline apa tidak_nat,netral,@lucxize Udh luring apa blm Nat?,2021-10-28 23:48:44+00:00,yutanasweet
92,hai yang butuh layan paja akhir akhir saat layan lembaga sedia baik offline maupun jaring bebas biaya sila manfaat layan iya,positif,"Hi, #KawanPajak! Ada yang membutuhkan layanan perpajakan akhir-akhir ini? 

Saat ini layanan DJP tersedia baik luring maupun daring dan bebas biaya. Silakan manfaatkan layanannya ya, #KawanPajak. https://t.co/87PBgxYqKz",2021-10-28 23:39:15+00:00,pajakpalopo
93,mata kuliah awat anak sakit online mata kuliah informasi awat online laboratorium rapat offline saya sewa kendara cepat sampai kampus on the way sedang jalan kampus menit salam aja bakal lambat,negatif,"07.00-08.40 matkul kep anak sakit (online)
08.40-10.20 matkul informasi kep (online)
10.30 LAB KMB LURING😭😭😭👎🏿

Apakah aku harus menyewa buroq untuk sampai ke kampus😭
Otw kampus 20 menitan woy... ini mah bakal telat😭😭😭😭",2021-10-28 23:19:25+00:00,annidaee
94,tidak_lupa mandi sama sarap den jaring apa offline,netral,"@anjjingh jangan lupa mandi sama sarapan den, daring apa luring?",2021-10-28 23:15:07+00:00,jangwonlyoung
95,wajar iya nama lama jaring melulu bayangin hampir tahun ajar full jaring sudah tahu kan beban tugas seperti apa kalau offline moga tidak_tambah beban bawa bahagia saja kakak hati mering mikir tugas,netral,"@Shanuubari Wajar lah ya, namanya udah lama daring mulu. Bayangin aja hampir 1 atau 2 tahun belajar full daring. Dan udah tau kan beban tugasnya aja kek apa?

Apalagi klo luring. Moga nggak nambah lagi aja bebannya. Dibawa happy aja kak, walau hati ini meringis mikirin tugas.",2021-10-28 22:32:54+00:00,RaviandraR
96,mau offline jam gin segar,netral,mo luring jam segini masih seger :-),2021-10-28 19:27:52+00:00,Nrlthfah_
97,padahal ada kelas offline pagi,negatif,Padahal nanti ada kelas luring pagi hzhzhzhzh,2021-10-28 17:54:26+00:00,siiyncan
98,serta ikut lalu offline dalam jaring,positif,Sekitar 500 peserta yang mengikuti melalui Luring dan Daring. https://t.co/PmaFuAdXbI,2021-10-28 17:07:54+00:00,bkipmsemarang
99,santai yupi sebentar kuliah jaring waktu skripsi langsung offline tertawa panik,negatif,"@piyowpaula @bobaformylife sellow, yupi bentar lagi.
kuliah daring pas skripsi langsung luring wkwk paniik gatuuh",2021-10-28 16:58:52+00:00,erlang__
100,kuliah cara jaring offline,positif,@andalasfess kuliah scr daring dan luring,2021-10-28 16:41:58+00:00,bolacokklatt
101,jaring offline,netral,@sbyfess daring ta luring,2021-10-28 16:32:24+00:00,cacingrsd
102,giat papua techfest rupa gelar festival pertama kali sasar anak muda asli papua jumlah besar cara jaring offline,positif,"Kegiatan Papua TechFest 2021 itu merupakan gelaran festival pertama kali, yang menyasar anak muda asli Papua dalam jumlah besar, secara daring dan luring.   https://t.co/MqqyGuB4RM",2021-10-28 15:54:09+00:00,mediaindonesia
103,offline,netral,@esrotonin luring juga?,2021-10-28 14:45:24+00:00,feerietale
104,iya sama dina gaji buta ikut yang offline,positif,@esrotonin iya gw sama dina gabut ikut aja yg luring WKAJSKAK,2021-10-28 14:43:22+00:00,feerietale
105,orang lembaga kalau rapat offline benar benar ajak antem buang air besar,negatif,Org pertamina kalo udah meeting luring tuh bener bener ngajak berantem... beraaaaq,2021-10-28 14:38:23+00:00,FarhanGetek
106,maaf pak untuk mahasiswa private message tidak_online kami ingin modul nstra yang offline tidak_apa pak sja ajar jaring asal modul nusantara offline tidak_efektif modul nsntrax jaring pak banyak kampus meluringkan tapak,positif,"@beritajatimcom @5lam1n @univ_jember maaf pak, apakah untuk mahasiwa pmm tidak diluringkan juga? kami hanya ingin modul nstra saja yg luring tidak apa2 pak biar sja pembelajrannya daring asalkan modul nusntaranya luring krena tidak efektif jika modul nsntrax daring pak, sudah bnyk jga kampus lain meluringkan MNpak🙏",2021-10-28 14:25:22+00:00,grace_mylinda
107,sih kalau mau offline siapin mental sama beban pikir melulu,negatif,Knp si kl mau luring hrus siapin mental sm ot mulu 🙃,2021-10-28 14:24:19+00:00,Shanuubari
108,cuma curah hati sebentar offline saya tidak_tahu berangkat kampus bagaimana jarak kamu tidak_ kendara naik kendara ojek tidak_ u ng tidak_ kendara u ng cuma cukup buat biaya sama butuh hari hari tidak_ teman berapa tidak_daerah pernah berapa kali jalan kaki cont,negatif,"[cm] curhat.. bentar lagi luring dan aku gatau berangkat ke kampus gimana. jarak 6,5km, ga ada motor, naik angkot/gozek ga ada uąng (ga ada bus), uång cuma cukup buat ukt sama kebutuhan sehari hari. ga ada temen (ada bbrp tapi ga sedaerah). pernah bbrp kali jalan kaki dan (cont)",2021-10-28 14:00:34+00:00,collegemenfess
109,buah kata mungkin offline,positif,"That kata ""kemungkinan sudah luring"" :'))",2021-10-28 13:59:05+00:00,lnsynth
110,besok offline senang wuhu,positif,BESOK LURING YEAYYYY WUHUU 🥳🥳🤩🤩🤩🤩,2021-10-28 13:48:24+00:00,cekibay
111,yupi desember offline,negatif,@bobaformylife yupi desember luring :(,2021-10-28 13:46:55+00:00,erlang__
112,mata kuliah semester berapa nih offline,netral,@bobaformylife matkul smstr berapa niih? yg luring,2021-10-28 13:42:25+00:00,erlang__
113,mau nugas malas padahal besok offline mata ajar,negatif,@luvruhoon Mau nugas tapi maless padhl besok luring ada mapelnya😭😭,2021-10-28 13:07:46+00:00,cicilland
114,tidak_siap offline iya tuhan,negatif,gak siap luring ya tuhan:(,2021-10-28 12:36:54+00:00,peachestics
115,selesai rapat offline amp kelas jaring cafe cafe cuma buka botol amp makan makan sekarang lapar padahal ada rapat ayo pesan nasi padang dulu,positif,"Kelar 2 rapat luring &amp; 1 kelas daring di kafe. Di kafe cuma buka 2 botol &amp; makan 2 mendoan. Skrg lapar, pdhl masih ada 1 rapat lagi. Yuk, pesan naspad dulu.",2021-10-28 12:36:07+00:00,nenyish
116,akhir offline iya,positif,@bobaformylife akhirnya luring juga ya,2021-10-28 12:33:49+00:00,costan_rider
117,hari senin uji offline,negatif,aku hari senin ldks 💔 dan luring 😭,2021-10-28 12:29:47+00:00,studyclassy
118,sih offline melulu pramuka anjing,negatif,KNPSI LURING MULU PRAMUKA NGWENTTOTODODDD,2021-10-28 11:38:12+00:00,lunadelraey
119,kontol pramuka offline,negatif,KWONTOWOL PRAMUKA LURING,2021-10-28 11:35:49+00:00,lunadelraey
120,edisi tadi pagi minta contek mata ajar tidak_selesai waktu offline tertawa enak banget kerja anak,negatif,Edisi tadi pagi minta contekan bindo yg belum kelar pas luring. Wkwk enak banget ngerjain nih anak https://t.co/sz6R4k9BiR,2021-10-28 11:31:18+00:00,clintbarvton
